Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R2_001 - polya	(1, 0.01626797129377098)	(2, 0.02075306618317513)	(3, 0.022683937542342335)	(4, 0.02513680299598257)	(5, 0.027404689959833823)	(6, 0.029310221799851856)	(7, 0.031433673504552805)	(8, 0.03726936476460803)	(9, 0.04489656002851)	(10, 0.05321425718922701)	(12, 0.05847474136459595)	(14, 0.06512129723742481)	(16, 0.07304116394749977)	(18, 0.08276900534886841)	(20, 0.0907433520251141)	(22, 0.10303808671629429)	(24, 0.12516708878926966)	(26, 0.13520280534830081)	(28, 0.14429462481902516)	(30, 0.15456599890614364)	(32, 0.16539357543858652)	(34, 0.17637699001379686)	(36, 0.18748330125688067)	(38, 0.19825766479911033)	(40, 0.207938628090053)	(42, 0.217794434063125)	(44, 0.22659738301554874)	(46, 0.23531291062690782)	(48, 0.2449837381101908)	(50, 0.2545620763485793)	(52, 0.2640010472316474)	(54, 0.2742622855111062)	(56, 0.28585131459398183)	(58, 0.3011703208956162)	(60, 0.32137225253729673)	(62, 0.34876427273755595)	(64, 0.3692778804647714)	(66, 0.4633014332437463)	(68, 0.5030604057647609)	(70, 0.5313114356641773)	(72, 0.5498472939217994)	(74, 0.5616909851721243)	(76, 0.5726515941801003)	(78, 0.5830534667908371)	(80, 0.5940736236688137)	(82, 0.6052698902048771)	(84, 0.6155133908209315)	(86, 0.624092085028885)	(88, 0.6328316851834358)	(90, 0.6416865801501153)	(92, 0.649768619782745)	(94, 0.6582307522026124)	(96, 0.6672896302984428)	(98, 0.6763953865046992)	(100, 0.686546397875859)	(102, 0.695927087864884)	(104, 0.7083865294305338)	(106, 0.7192698529051049)	(108, 0.7307347183441496)	(110, 0.7405107048319017)	(112, 0.7512635297828545)	(114, 0.7667649806223629)	(116, 0.7784287612867287)	(118, 0.7896376975823667)	(120, 0.8030030269575995)	(122, 0.8170018443115618)	(124, 0.8306066321427543)	(126, 0.8439947670852215)	(128, 0.8607847324734654)	(130, 0.8797019504942828)	(132, 0.8984316560733963)	(134, 0.9144208926565263)	(136, 0.9287377209758108)	(138, 0.9384566935454771)
Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R2_001 - polyg	(1, 0.045362807180854836)	(2, 0.04628009777405501)	(3, 0.046548696677036275)	(4, 0.04682489743576229)	(5, 0.046982002454487186)	(6, 0.04718725255959551)	(7, 0.04739503661661875)	(8, 0.04764082995236576)	(9, 0.048089339441306174)	(10, 0.0489432812366334)	(12, 0.0502381306651563)	(14, 0.05077026056728899)	(16, 0.05117949380154818)	(18, 0.05166727954516982)	(20, 0.052262758245175456)	(22, 0.05278855326752086)	(24, 0.053212990213269556)	(26, 0.05375778987497684)	(28, 0.05417462496498078)	(30, 0.054719424626688065)	(32, 0.05535164562946001)	(34, 0.05595599316116785)	(36, 0.056723780591387885)	(38, 0.057630935376928386)	(40, 0.05899673545906897)	(42, 0.06018009100333549)	(44, 0.0614191934897302)	(46, 0.06295603532612773)	(48, 0.06446373671550368)	(50, 0.06617162030615815)	(52, 0.06815823860745354)	(54, 0.06985978731832071)	(56, 0.0716563592259973)	(58, 0.07348840646048271)	(60, 0.07511140266198743)	(62, 0.07647466879221311)	(64, 0.07769856756711829)	(66, 0.07860572235265881)	(68, 0.07950274133053964)	(70, 0.08031107199139835)	(72, 0.0812106249211941)	(74, 0.08261823520993082)	(76, 0.0843286527525002)	(78, 0.08587689737251486)	(80, 0.08791546168806606)	(82, 0.09015420820489575)	(84, 0.09327350301215932)	(86, 0.09722266707155838)	(88, 0.1023640555069262)	(90, 0.10569240134717048)	(92, 0.11019776785189395)	(94, 0.11443580242959364)	(96, 0.11735998293940855)	(98, 0.12019927606007372)	(100, 0.12281304746031121)	(102, 0.1257777712007648)	(104, 0.12781253458844366)	(106, 0.12970032876505724)	(108, 0.13146395929783988)	(110, 0.13348225199807176)	(112, 0.13553475304915502)	(114, 0.13708806557299952)	(116, 0.13913043081642307)	(118, 0.14169985805814955)	(120, 0.14367760752774272)	(122, 0.14537535531073753)	(124, 0.14695907525756102)	(126, 0.1482475898062966)	(128, 0.14929411194715758)	(130, 0.1501455197905699)	(132, 0.1510121313454717)	(134, 0.15191548520313983)	(136, 0.15297847803144776)	(138, 0.15499296980380725)
Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R1_001 - polya	(1, 0.0034116997183652026)	(2, 0.006933547770883233)	(3, 0.010246693716585379)	(4, 0.012322120223254442)	(5, 0.014145365017520976)	(6, 0.015681644414915673)	(7, 0.01778315868493672)	(8, 0.020922386208292298)	(9, 0.026684883268708628)	(10, 0.03419815911408043)	(12, 0.03883453438980272)	(14, 0.044966608097705515)	(16, 0.05111607364784296)	(18, 0.05717423202624847)	(20, 0.06437300539121021)	(22, 0.0713500327676801)	(24, 0.07790096000940087)	(26, 0.08412434088903561)	(28, 0.0899520573578319)	(30, 0.09694792589672266)	(32, 0.103482910616395)	(34, 0.10928453932183932)	(36, 0.1155180654427776)	(38, 0.12239364040621198)	(40, 0.12896920609109852)	(42, 0.13544621800332202)	(44, 0.14129422495472543)	(46, 0.14725382956046784)	(48, 0.15305980622647083)	(50, 0.1585614256533673)	(52, 0.16415435225199573)	(54, 0.16997772076023338)	(56, 0.17552716775327515)	(58, 0.181162124637304)	(60, 0.18645069399682593)	(62, 0.1917218715141132)	(64, 0.19725392666492034)	(66, 0.2025106109803454)	(68, 0.207777440537074)	(70, 0.2135384882773041)	(72, 0.21863429805205858)	(74, 0.2233909669032373)	(76, 0.22852300968264727)	(78, 0.23411158832071705)	(80, 0.2399842337152862)	(82, 0.24561774127912883)	(84, 0.2508831215156712)	(86, 0.25577312782398226)	(88, 0.26097039001177225)	(90, 0.26683144084485166)	(92, 0.27291133902605047)	(94, 0.27951299247428896)	(96, 0.2853407089430853)	(98, 0.2911756720128127)	(100, 0.29843096886503706)	(102, 0.30567177251539923)	(104, 0.31160528935778975)	(106, 0.3184852122817827)	(108, 0.3252274497880847)	(110, 0.3314450333869746)	(112, 0.3373988407119722)	(114, 0.3437222246844562)	(116, 0.35165145542327353)	(118, 0.35915748466771424)	(120, 0.3668432296152464)	(122, 0.37521015505030253)	(124, 0.3844379766759743)	(126, 0.39387160176808944)	(128, 0.4045342503781204)	(130, 0.414402671526102)	(132, 0.4230348225552367)	(134, 0.4339771899612084)	(136, 0.44530072857615627)	(138, 0.45199658783649915)
Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002927626776167251)	(4, 0.0005536403111365792)	(5, 0.001049307814824302)	(6, 0.0014029419402623263)	(7, 0.0017884611097972217)	(8, 0.0023710878246582293)	(9, 0.0030986465581413778)	(10, 0.004136359811475908)	(12, 0.00580162870544431)	(14, 0.007572697973006875)	(16, 0.009235068226602835)	(18, 0.0109046850811299)	(20, 0.012765612200238193)	(22, 0.014391749449178617)	(24, 0.015819329832606706)	(26, 0.01735126126944274)	(28, 0.018820871938271252)	(30, 0.02012526010587052)	(32, 0.022151409726208056)	(34, 0.024163066144683373)	(36, 0.02600660142155701)	(38, 0.027532735577648154)	(40, 0.028869008789344296)	(42, 0.030211079281785323)	(44, 0.03136618747020379)	(46, 0.03281840629679764)	(48, 0.034292364926184815)	(50, 0.03617937980864509)	(52, 0.038375099890770537)	(54, 0.04032443554123834)	(56, 0.041672303314424244)	(58, 0.04302451904816883)	(60, 0.04454195728314264)	(62, 0.046223168699159475)	(64, 0.0477681440176715)	(66, 0.049298626134321316)	(68, 0.051334920995962395)	(70, 0.05295381164397171)	(72, 0.0544422634752211)	(74, 0.056029269079133553)	(76, 0.05773946689887481)	(78, 0.059220672129193096)	(80, 0.06124682174953063)	(82, 0.06293817840685102)	(84, 0.06481070008744907)	(86, 0.06634263152428511)	(88, 0.06778035714901676)	(90, 0.06932243382715633)	(92, 0.0707413182894671)	(94, 0.07252398211851943)	(96, 0.07455592901960185)	(98, 0.07607046861420323)	(100, 0.07785603108362801)	(102, 0.0799734878756975)	(104, 0.08221703552396824)	(106, 0.08531133412155095)	(108, 0.08884912469611742)	(110, 0.09192603145146547)	(112, 0.09520729235307074)	(114, 0.09963206688160471)	(116, 0.10238287659505296)	(118, 0.10511629446626654)	(120, 0.10808305288746177)	(122, 0.11091792317171084)	(124, 0.1141774442705228)	(126, 0.11690941282155017)	(128, 0.11954717556047313)	(130, 0.12228059343168671)	(132, 0.12442993526785306)	(134, 0.12691262074685034)	(136, 0.1295634273674493)	(138, 0.13225336563307624)
Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R2_001 - polya	(1, 0.013185915054242402)	(2, 0.01771069267562565)	(3, 0.019748436857452954)	(4, 0.022284747183340423)	(5, 0.024406551935968572)	(6, 0.026099357913475178)	(7, 0.027931298628859045)	(8, 0.033169141781863226)	(9, 0.040108486833491344)	(10, 0.04835222005271873)	(12, 0.05355093156069493)	(14, 0.05992938970025537)	(16, 0.06781369151329986)	(18, 0.0772661577678359)	(20, 0.08492871359238849)	(22, 0.09698126026100576)	(24, 0.11576589919462146)	(26, 0.12476327891068398)	(28, 0.1336244225292417)	(30, 0.14310587518750217)	(32, 0.15323517396900363)	(34, 0.16395289674611097)	(36, 0.17613878087186058)	(38, 0.1878565345774607)	(40, 0.19783075609903644)	(42, 0.2077238156901838)	(44, 0.2164211861276985)	(46, 0.22478956088294094)	(48, 0.23435507411200224)	(50, 0.2438495706519387)	(52, 0.25291506841675365)	(54, 0.263213937660043)	(56, 0.275088217945755)	(58, 0.29208149712920106)	(60, 0.3158083178978318)	(62, 0.34923254003247)	(64, 0.3714085882018438)	(66, 0.4925514652873467)	(68, 0.5408051315674023)	(70, 0.5720930557475502)	(72, 0.5920588906329364)	(74, 0.6035795367932104)	(76, 0.6137088355747118)	(78, 0.6240511844235879)	(80, 0.6346123806205832)	(82, 0.6452228537039102)	(84, 0.6550144608820221)	(86, 0.6632596434214357)	(88, 0.6712207592043499)	(90, 0.6797934881058496)	(92, 0.6875459017819479)	(94, 0.6955490478502625)	(96, 0.7038101729117245)	(98, 0.7122336218340434)	(100, 0.7218614558311123)	(102, 0.7302936006745484)	(104, 0.7419446856515823)	(106, 0.7523363113867898)	(108, 0.7630424396024074)	(110, 0.7726108514718412)	(112, 0.7830271156502144)	(114, 0.7977696005844587)	(116, 0.808932264658736)	(118, 0.819536940461318)	(120, 0.8322692182972731)	(122, 0.8452449819245135)	(124, 0.8584106064961488)	(126, 0.8710878101650275)	(128, 0.8862882802781176)	(130, 0.9043453604782501)	(132, 0.922398092717824)	(134, 0.9370376759188466)	(136, 0.9503337393072417)	(138, 0.9595861993760793)
Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R2_001 - polyg	(1, 0.05374948842620727)	(2, 0.05494082961928127)	(3, 0.05521909909503578)	(4, 0.055494469930417845)	(5, 0.05570896931797862)	(6, 0.05587419181920786)	(7, 0.05604811024155443)	(8, 0.05630898787507428)	(9, 0.05661334511418078)	(10, 0.057464096063492745)	(12, 0.058704714142898275)	(14, 0.05923226669068287)	(16, 0.0597148903126946)	(18, 0.06021780441731343)	(20, 0.060788836570684665)	(22, 0.061230879227482195)	(24, 0.0616033545153411)	(26, 0.06211206590070481)	(28, 0.06253816603545391)	(30, 0.06303383353914163)	(32, 0.06364399733754085)	(34, 0.06422082677165697)	(36, 0.0650208515144512)	(38, 0.06584406538022494)	(40, 0.06715135218819666)	(42, 0.06828761921419424)	(44, 0.06940939303832962)	(46, 0.07073262236834976)	(48, 0.07216744935270897)	(50, 0.07375010699606274)	(52, 0.07552117626362531)	(54, 0.0771516614731244)	(56, 0.07882707560839636)	(58, 0.08051843226571674)	(60, 0.08198659361435903)	(62, 0.08324895149655788)	(64, 0.08444464065019054)	(66, 0.0853011888802474)	(68, 0.0861809262332838)	(70, 0.08690703564658073)	(72, 0.08770561106918873)	(74, 0.08889260430170405)	(76, 0.09042598505872632)	(78, 0.09199559882040409)	(80, 0.0939318905891959)	(82, 0.09599717185456141)	(84, 0.0988523326214176)	(86, 0.10251186609162666)	(88, 0.1073888285182617)	(90, 0.11060921797204568)	(92, 0.11492819212698549)	(94, 0.11901382573194366)	(96, 0.12192840862643492)	(98, 0.12448790807530191)	(100, 0.12696189763318189)	(102, 0.12957357260875285)	(104, 0.13163740455393214)	(106, 0.13344035886559158)	(108, 0.13528389414246522)	(110, 0.13705351408984157)	(112, 0.13870428978194774)	(114, 0.14012752220481717)	(116, 0.14196236156057349)	(118, 0.1442841724989002)	(120, 0.14604799516553163)	(122, 0.14755673747938813)	(124, 0.1491191046401348)	(126, 0.15033363495618834)	(128, 0.15120902434866607)	(130, 0.15201629569239142)	(132, 0.1527119693817777)	(134, 0.15358156149351054)	(136, 0.154697538036901)	(138, 0.15643382361999428)
Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R1_001 - polya	(1, 0.0035295385459112086)	(2, 0.006896897569761202)	(3, 0.011915926989339897)	(4, 0.013990117718859664)	(5, 0.016060040566219926)	(6, 0.017745854019224676)	(7, 0.01998222427080566)	(8, 0.023046563661330746)	(9, 0.028970384098724652)	(10, 0.036618428928558856)	(12, 0.04144753759203955)	(14, 0.04802647794091757)	(16, 0.0543023986564707)	(18, 0.060083245041521155)	(20, 0.06705269660799396)	(22, 0.0739794693528717)	(24, 0.07977311938440068)	(26, 0.08553049241757385)	(28, 0.09086107723479647)	(30, 0.09726930229729427)	(32, 0.10371380435814787)	(34, 0.1094775792145603)	(36, 0.11592634915757341)	(38, 0.12266533508743291)	(40, 0.1296113133020284)	(42, 0.135667438086367)	(44, 0.1409937550214301)	(46, 0.14710963015600176)	(48, 0.1529331553626473)	(50, 0.15817624859560003)	(52, 0.16321661742597626)	(54, 0.16876486423333364)	(56, 0.17421494975102242)	(58, 0.17943030174993838)	(60, 0.18446853663923485)	(62, 0.1897927196332182)	(64, 0.19559277148798643)	(66, 0.20075264101882884)	(68, 0.20595518937126628)	(70, 0.21144795371055009)	(72, 0.21643284007285274)	(74, 0.22133450273304503)	(76, 0.22599929793338475)	(78, 0.23143444586351525)	(80, 0.2371811491912897)	(82, 0.24248185883339576)	(84, 0.24743687002058184)	(86, 0.2522702465662221)	(88, 0.25813431665338293)	(90, 0.26408161044265405)	(92, 0.27046422821219485)	(94, 0.2772522947868886)	(96, 0.28442660469701775)	(98, 0.29124027856466855)	(100, 0.30142344539724913)	(102, 0.31160021040659047)	(104, 0.31925679100074367)	(106, 0.328328174530773)	(108, 0.33776232804436035)	(110, 0.34590971508685675)	(112, 0.3533678391605929)	(114, 0.36166673601975174)	(116, 0.3732113572612147)	(118, 0.38389813418861696)	(120, 0.3950906551519206)	(122, 0.40697243908398445)	(124, 0.42058484923172784)	(126, 0.435114854043765)	(128, 0.45234002643953)	(130, 0.46734376617127227)	(132, 0.47933651503948327)	(134, 0.49685403736317435)	(136, 0.5157074068027907)	(138, 0.5262554775600091)
Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004353239802695808)	(4, 0.0006359144417663483)	(5, 0.00089198737133669)	(6, 0.0011352566544285145)	(7, 0.0014126689947963848)	(8, 0.001839457210746954)	(9, 0.0024753716525133026)	(10, 0.003484725783236399)	(12, 0.0049208681299100655)	(14, 0.0063698141230622484)	(16, 0.007816626175134678)	(18, 0.00931038493096167)	(20, 0.010983394737487903)	(22, 0.012445144377118604)	(24, 0.01352918644563305)	(26, 0.014517201165558618)	(28, 0.015607645057312321)	(30, 0.01685600058896774)	(32, 0.018810690618021347)	(34, 0.020863541936743585)	(36, 0.022474667451956983)	(38, 0.02373155874793141)	(40, 0.02487321722559918)	(42, 0.026224001929082738)	(44, 0.027357124642431497)	(46, 0.028496649179019517)	(48, 0.02980048717874851)	(50, 0.031578060098182634)	(52, 0.03340044578029156)	(54, 0.03518442052296494)	(56, 0.03651386581565096)	(58, 0.03761497941280344)	(60, 0.03908313087567339)	(62, 0.0406302381584942)	(64, 0.04200022833169553)	(66, 0.04331260209574354)	(68, 0.04499414766658878)	(70, 0.046526317361851324)	(72, 0.047810949891862534)	(74, 0.049505299109186295)	(76, 0.0510438706276881)	(78, 0.05246294144572374)	(80, 0.05404205784474085)	(82, 0.05565318335995425)	(84, 0.057499042393940464)	(86, 0.05904401573568152)	(88, 0.060469488376956426)	(90, 0.06185228219663627)	(92, 0.0631817274893223)	(94, 0.06476937965265842)	(96, 0.06676888244438683)	(98, 0.0683629364309622)	(100, 0.07032402828325507)	(102, 0.0722957898409467)	(104, 0.07449161521201239)	(106, 0.07779922388562929)	(108, 0.08222288374395695)	(110, 0.08592100363516864)	(112, 0.09018035003035532)	(114, 0.09585023147925863)	(116, 0.09891243692870397)	(118, 0.10192129385115548)	(120, 0.10518408976209759)	(122, 0.10836152802984957)	(124, 0.11173955675909833)	(126, 0.11436857216935384)	(128, 0.11678846135379356)	(130, 0.11953697746451522)	(132, 0.12189284841656237)	(134, 0.12457734629489145)	(136, 0.1272853175250978)	(138, 0.12995487781586862)
Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R2_001 - polya	(1, 0.011570228534419935)	(2, 0.016538043368084565)	(3, 0.018774413619665548)	(4, 0.021574144316301284)	(5, 0.023784907274925233)	(6, 0.025816419182849944)	(7, 0.027894877794529215)	(8, 0.03368639388497844)	(9, 0.040809489209193445)	(10, 0.04951810275566482)	(12, 0.05553368265948809)	(14, 0.06241137475953151)	(16, 0.06979267695439662)	(18, 0.07859731784945687)	(20, 0.08632645244032167)	(22, 0.09746349093555179)	(24, 0.1278059991485575)	(26, 0.14166594646155226)	(28, 0.151968613994599)	(30, 0.16176767143282406)	(32, 0.18645523578448475)	(34, 0.21382729801447453)	(36, 0.2282185966563277)	(38, 0.2412356372428201)	(40, 0.25116699902798983)	(42, 0.26081027876739293)	(44, 0.2691518544481468)	(46, 0.2779650311075261)	(48, 0.28863473650629035)	(50, 0.29993608846466135)	(52, 0.3104244088716467)	(54, 0.32226778186427496)	(56, 0.33708800266315847)	(58, 0.36088144570240266)	(60, 0.4013452364566762)	(62, 0.4592924064773648)	(64, 0.48947273516830925)	(66, 0.7133722350792173)	(68, 0.8051722463891049)	(70, 0.853435591789875)	(72, 0.8830674976233231)	(74, 0.8954294182983313)	(76, 0.9063658663320646)	(78, 0.9172788410139208)	(80, 0.9286890239673593)	(82, 0.9397812496999145)	(84, 0.9493050287388516)	(86, 0.9583870819742797)	(88, 0.9670892936975117)	(90, 0.9755183609625355)	(92, 0.9834182108397804)	(94, 0.991574133646596)	(96, 0.9997343243355707)	(98, 1.0081697934238338)	(100, 1.0180264672712123)	(102, 1.0272450927357446)	(104, 1.0386275344551463)	(106, 1.0494082047900575)	(108, 1.0601952769482081)	(110, 1.069859896098409)	(112, 1.0802756625086825)	(114, 1.0952367234188296)	(116, 1.1063097436816673)	(118, 1.1166060093914747)	(120, 1.1290063410059186)	(122, 1.1415048339100309)	(124, 1.154344757386904)	(126, 1.1671078589849055)	(128, 1.1822439030635925)	(130, 1.1987456694333214)	(132, 1.2158641447750984)	(134, 1.2302959882974671)	(136, 1.2431615190672969)	(138, 1.2523374657102342)
Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R2_001 - polyg	(1, 0.07793579611473347)	(2, 0.07874669372503956)	(3, 0.07897289147949337)	(4, 0.07913933888371408)	(5, 0.07933566146305135)	(6, 0.07948930522079355)	(7, 0.0796770920358118)	(8, 0.07987341461514906)	(9, 0.08018923789495248)	(10, 0.08119219020243632)	(12, 0.0826816810761038)	(14, 0.08315754993688869)	(16, 0.08359714179931778)	(18, 0.08394070631315799)	(20, 0.08438669999882634)	(22, 0.08482202397909591)	(24, 0.08521466913777044)	(26, 0.08560304641428546)	(28, 0.08603837039455503)	(30, 0.08652704290181844)	(32, 0.08705199240743763)	(34, 0.08758547767737584)	(36, 0.08828114246937528)	(38, 0.08905362914024581)	(40, 0.09028704708434296)	(42, 0.09126225815779002)	(44, 0.09226734440635359)	(46, 0.0934943605272115)	(48, 0.09484301128961528)	(50, 0.09623860875577364)	(52, 0.09792869009093791)	(54, 0.09944378825756242)	(56, 0.1010783871246531)	(58, 0.10267670899338799)	(60, 0.10419820898325177)	(62, 0.10541028751655138)	(64, 0.1063598912970414)	(66, 0.10711317249819416)	(68, 0.10784511428854937)	(70, 0.10848956449463473)	(72, 0.10924071175470773)	(74, 0.11035462899833873)	(76, 0.11180784287365042)	(78, 0.1132205118684468)	(80, 0.11492553079116932)	(82, 0.11684607776294689)	(84, 0.12012807914360676)	(86, 0.12460081964676874)	(88, 0.13043288061773328)	(90, 0.13368287288219682)	(92, 0.1383241947306593)	(94, 0.1425878090080055)	(96, 0.14534912876520567)	(98, 0.14790345623766982)	(100, 0.15042364065285793)	(102, 0.15318709435113786)	(104, 0.15503508732620386)	(106, 0.15669102560409204)	(108, 0.15828294564958767)	(110, 0.16012880468357388)	(112, 0.16182528784197742)	(114, 0.16322515319029526)	(116, 0.16503473522592566)	(118, 0.1673735346493348)	(120, 0.16895478498943167)	(122, 0.1704656152738967)	(124, 0.17190602550272985)	(126, 0.1730903628019927)	(128, 0.17402502899492442)	(130, 0.17488073936790532)	(132, 0.17563402056905808)	(134, 0.17653454370471378)	(136, 0.17753536207111786)	(138, 0.17939189081050283)
